,X_fc,Y_fc,Z_fc
2023-09-01,,,2165.8880368098157
2023-10-01,,,2166.526073619632
2023-11-01,,,2167.1641104294476
2023-12-01,,,2167.802147239264
2024-01-01,,540.3255813953489,2168.4401840490796
2024-02-01,,540.6511627906976,2169.0782208588957
2024-03-01,,540.9767441860465,2169.7162576687115
2024-04-01,,541.3023255813954,2170.3542944785277
2024-05-01,89.35286046511628,541.6279069767442,2170.9923312883434
2024-06-01,89.52572093023257,541.953488372093,2171.6303680981596
2024-07-01,89.69858139534884,542.2790697674419,2172.2684049079753
2024-08-01,89.87144186046513,542.6046511627907,2172.9064417177915
2024-09-01,90.0443023255814,542.9302325581396,2173.544478527607
2024-10-01,90.21716279069769,543.2558139534884,2174.1825153374234
2024-11-01,90.39002325581396,543.5813953488372,2174.820552147239
2024-12-01,90.56288372093024,543.9069767441861,2175.4585889570553
2025-01-01,90.73574418604652,544.2325581395348,2176.096625766871
2025-02-01,90.9086046511628,544.5581395348837,2176.7346625766872
2025-03-01,91.08146511627908,544.8837209302326,2177.372699386503
2025-04-01,91.25432558139535,545.2093023255813,2178.010736196319
2025-05-01,91.42718604651164,545.5348837209302,2178.648773006135
2025-06-01,91.60004651162791,545.8604651162791,2179.286809815951
2025-07-01,91.7729069767442,546.1860465116279,2179.924846625767
2025-08-01,91.94576744186047,546.5116279069767,2180.562883435583
2025-09-01,92.11862790697676,546.8372093023256,2181.2009202453987
2025-10-01,92.29148837209303,547.1627906976744,2181.838957055215
2025-11-01,92.46434883720931,547.4883720930233,2182.4769938650306
2025-12-01,92.63720930232559,547.8139534883721,2183.115030674847
2026-01-01,92.81006976744187,548.1395348837209,2183.7530674846626
2026-02-01,92.98293023255815,548.4651162790698,2184.3911042944787
2026-03-01,93.15579069767442,548.7906976744187,2185.0291411042945
2026-04-01,93.3286511627907,549.1162790697674,2185.6671779141107
2026-05-01,93.50151162790698,549.4418604651163,2186.3052147239264
2026-06-01,93.67437209302327,549.7674418604652,2186.943251533742
2026-07-01,93.84723255813954,550.0930232558139,2187.5812883435583
2026-08-01,94.02009302325582,550.4186046511628,2188.219325153374
2026-09-01,94.1929534883721,550.7441860465117,
2026-10-01,94.36581395348838,551.0697674418604,
2026-11-01,94.53867441860466,551.3953488372093,
2026-12-01,94.71153488372094,551.7209302325581,
2027-01-01,94.88439534883722,,
2027-02-01,95.0572558139535,,
2027-03-01,95.23011627906978,,
2027-04-01,95.40297674418605,,
